time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-24T19:36:16.070Z,24.0128,142.0853,55.68,4.8,mb,,91,3.071,0.93,us,us10004sel,2016-02-24T20:16:56.300Z,"114km SE of Iwo Jima, Japan",earthquake,6.9,6.9,0.048,132,reviewed,us,us
2016-02-24T19:09:57.180Z,-29.9003,-71.8994,15.11,4.6,mb,,147,0.574,0.69,us,us10004sec,2016-02-24T20:02:30.002Z,"53km W of Coquimbo, Chile",earthquake,5.1,5.4,0.165,11,reviewed,us,us
2016-02-24T17:02:04.640Z,-29.9554,-71.686,22.96,4.6,mb,,144,0.39,0.85,us,us10004scj,2016-02-24T19:47:02.064Z,"33km W of Coquimbo, Chile",earthquake,4.6,5.6,0.129,18,reviewed,us,us
2016-02-24T16:10:50.890Z,38.3164,141.8767,44.9,5,mb,,133,0.967,0.71,us,us10004scg,2016-02-24T17:10:16.126Z,"51km ESE of Ishinomaki, Japan",earthquake,6.9,6.5,0.065,76,reviewed,us,us
2016-02-24T09:22:16.990Z,27.8205,85.7593,10,4.7,mb,,77,0.407,0.78,us,us10004sb7,2016-02-24T10:17:11.936Z,"23km SW of Kodari, Nepal",earthquake,4.2,1.9,0.082,45,reviewed,us,us
2016-02-24T08:18:20.510Z,18.7292,-69.4339,95.13,4.7,mb,,72,0.529,1,us,us10004saw,2016-02-24T14:13:50.560Z,"6km SSE of El Puerto, Dominican Republic",earthquake,2.6,6,0.048,148,reviewed,us,us
2016-02-24T03:51:29.030Z,-31.758,-69.439,122.79,4.9,mb,,78,0.677,1.29,us,us10004s9h,2016-02-24T17:13:51.000Z,"47km S of Calingasta, Argentina",earthquake,4.3,6.5,0.125,20,reviewed,us,us
2016-02-24T02:33:49.680Z,-9.0859,127.2066,57.67,4.7,mb,,51,2.975,1.02,us,us10004s92,2016-02-24T10:36:30.163Z,"184km ESE of Aileu, East Timor",earthquake,8.1,10,0.133,17,reviewed,us,us
2016-02-24T00:38:12.500Z,11.6011,-87.2691,42.02,4.6,mb,,180,1.053,0.75,us,us10004s8a,2016-02-24T08:40:39.677Z,"84km WSW of Masachapa, Nicaragua",earthquake,7.1,8.9,0.05,117,reviewed,us,us
2016-02-24T00:02:23.630Z,35.5423333,-119.3728333,22.14,4.87,mw,84,37,0.295,0.29,ci,ci37528064,2016-02-24T18:55:03.160Z,"6km SSW of Wasco, California",earthquake,0.24,0.65,,6,reviewed,ci,ci
2016-02-23T21:46:49.210Z,-17.6713,-178.4945,555.95,4.9,mb,,61,7.469,1.37,us,us10004s6b,2016-02-24T05:49:20.961Z,"265km ESE of Lambasa, Fiji",earthquake,14.1,4.3,0.081,47,reviewed,us,us
2016-02-23T20:47:35.220Z,1.0416,127.4517,18.82,5.4,mb,,50,0.281,1.22,us,us10004s5h,2016-02-24T15:53:24.252Z,"27km NNE of Ternate, Indonesia",earthquake,5.9,4.2,0.051,129,reviewed,us,us
2016-02-23T18:08:46.550Z,-63.0328,144.9961,10,5.8,mww,,30,11.185,0.83,us,us10004s4c,2016-02-24T15:05:25.218Z,"South of Australia",earthquake,9.3,1.7,,,reviewed,us,us
2016-02-23T16:09:28.430Z,12.3491,-88.268,35,4.6,mb,,188,1.238,1.11,us,us10004s2k,2016-02-24T00:12:25.754Z,"96km SSW of Intipuca, El Salvador",earthquake,7.2,2,0.079,47,reviewed,us,us
